source,target,connection_type,justification,weight
6BF6YD1990nsZr8DVZL9j1,3RZMzCvYsmJ0u2ioKTOsmJ,mood_affinity,valence=0.82 energy=0.86 mood=-0.04,-0.04
6BF6YD1990nsZr8DVZL9j1,55tO0KAE7HsVMcqPT7qG2p,mood_affinity,valence=0.82 energy=0.86 mood=-0.04,-0.04
6BF6YD1990nsZr8DVZL9j1,1J9f1ooloQme6G8vhgKibt,mood_affinity,valence=0.82 energy=0.86 mood=-0.04,-0.04
6BF6YD1990nsZr8DVZL9j1,3dGkVWeKPohk1SiCJMtlrC,mood_affinity,valence=0.82 energy=0.86 mood=-0.04,-0.04
6BF6YD1990nsZr8DVZL9j1,6kqdxmOjUWXjbQeThu7jlM,mood_affinity,valence=0.82 energy=0.86 mood=-0.04,-0.04
6BF6YD1990nsZr8DVZL9j1,7g7Zqii3qccY5O8DNL8PFw,mood_affinity,valence=0.82 energy=0.86 mood=-0.04,-0.04
6BF6YD1990nsZr8DVZL9j1,5kCSv8whN36gYuvYJbDPOo,mood_affinity,valence=0.82 energy=0.86 mood=-0.04,-0.04
6BF6YD1990nsZr8DVZL9j1,101QdafoK9zk4lB4vFO5Yy,mood_affinity,valence=0.82 energy=0.86 mood=-0.04,-0.04
6BF6YD1990nsZr8DVZL9j1,5lrq8sHObtY0xMmF7Ukzl7,mood_affinity,valence=0.82 energy=0.86 mood=-0.04,-0.04
6BF6YD1990nsZr8DVZL9j1,2WVZwImXEOdSSvPZg0TQyx,mood_affinity,valence=0.82 energy=0.86 mood=-0.04,-0.04
6BF6YD1990nsZr8DVZL9j1,4gC6xOiJLHTpIARRdmYMaQ,mood_affinity,valence=0.82 energy=0.86 mood=-0.04,-0.04
6BF6YD1990nsZr8DVZL9j1,10nnCsc6unlme3bImINZV3,mood_affinity,valence=0.82 energy=0.86 mood=-0.04,-0.04
6BF6YD1990nsZr8DVZL9j1,5cbZwg8mjKqTbsT4Z2rUpc,mood_affinity,valence=0.82 energy=0.86 mood=-0.04,-0.04
6BF6YD1990nsZr8DVZL9j1,0tqYkWGK59TX4f39lHNVbG,mood_affinity,valence=0.82 energy=0.86 mood=-0.04,-0.04
